target,source,flow
01F1045N,01F0956N,8
01F0750N,01F0584N,253
03F2261S,01F2603S,2
01F0880N,01H0333N,3
01F1664N,01F0880N,23
03F4142N,03F1941N,1
03F1257N,03F1257N,729
03F1051S,01F2425S,13
01F2394S,01F3286S,1
01F2425S,01F2827S,10
03F1051S,03F3307S,2
03F2336N,01F2011S,1
05F0528N,03F1161S,1
01F1725S,03F2125N,3
03F1161S,01F2425S,1
03F1779N,01F3686S,1
03F0559S,03F0996S,1
03F3307N,03F1651N,1
01F2089N,03F2336S,6
03F1128S,01F2603S,7
03F3854N,01F1839N,3
03F2231N,01F1906N,14
03F1992N,01F3019S,4
01F3676N,01F3019N,1
03F3916N,03F3496N,34
03F2923S,01F0979N,1
03F4259N,01F2322N,2
03F1022N,03F0846N,44
01F3019N,01F2827N,136
03F3743N,03F2153N,26
01H0447S,03F1022S,1
03F0136S,01F2425S,1
03F3496N,03F0394N,1
01F2394N,03F2079S,9
03F0783S,01F3126S,1
01F0467S,01F0557N,1
03F3101S,01F3185S,4
03F2306N,01F0339N,1
03F1215S,03F2840S,1
01F2322S,01F3686S,6
03F0846S,03F1991S,4
01F1123S,01F2089S,3
03F3743N,03F2306N,10
01F0928S,03F2336S,3
03F0447S,03F0559S,819
01F0264S,01F1292S,8
01F0880S,01F3398S,2
01F1725N,03F0846N,17
03F2985S,01F3227S,30
01H0305S,01H0579S,281
01F3286N,01F2394N,1
05F0287N,01F3525S,1
05F0438N,01F0099N,7
01F0413N,01F0293N,48
01F3185N,01H0579N,3
01F0584N,03F0498N,2
03F2985S,03F3496S,63
03F0217S,03F1991S,1
01F2394N,03F1860N,15
03A0041S,03F0201N,108
03F2777N,01F2394N,5
01F3185N,03F1022S,2
01F1292N,01H0271N,6
01F0880S,01F3286S,1
01F1839S,03F2614S,1
01F3185N,03F0525N,2
03F3496N,01F1906N,1
03F0006S,01F0264S,86
03F1485S,03F1485N,1
03F0337S,01H0208N,1
01F2866N,03F2336N,1
05F0528N,05F0287S,1
01H0174N,01F0099N,279
01F3227S,01F3676S,1
01F3736N,01F3525N,13
03F2153N,01F0339N,2
